Speed_100m_m/s,Direction_100m_degrees,Temperature_2m_degrees_C,Pressure_0m_kPa
14.56,351.3,19.8,101.3
14.87,355.3,21.1,101.3
14.87,357.7,23.2,101.3
14.54,357.6,24.5,101.2
14.24,356.3,24.4,101
14.77,357.6,24.4,100.9
14.61,357.5,24.5,100.8
13.94,356.1,22.7,100.8
13.75,355.7,22,100.8
13.29,352.8,21.5,100.9
12.9,353.3,21.2,100.9
12.81,352.5,20.8,101
12.73,351.8,20.7,101
12.54,351.5,20.4,101.1
12.43,351.2,19.9,101.1
12.22,350.8,19.8,101.1
12.12,350.6,19.9,101
12.12,349.8,19.3,101
12.2,350,19.6,100.9
11.95,349.7,19,100.9
12.21,351.1,19,101
12.3,352.6,18,101
12.3,352.5,17.8,101.1
11.75,350.6,17.7,101.1
12.03,350.5,18.5,101.2
12.79,352,20.6,101.2
12.86,353.9,23,101.2
12.68,356.2,25.2,101.1
12.97,357.3,25.5,101.1
13.6,357.9,26.4,101
14.62,358.1,26.4,100.9
13.94,358.6,24.1,100.9
13.85,357.6,23.6,100.9
13.97,357.5,23.3,101
13.81,357.6,23,101
14.19,357.2,22.5,101.1
14.25,356.1,21.6,101.2
14.15,354.9,21.7,101.3
14.09,354,21.3,101.3
14.24,352.7,21.1,101.3
14.37,352.1,21.1,101.3
14.63,351.5,20.6,101.2
14.84,351.4,20,101.2
14.89,349.8,19.9,101.2
14.96,350.8,19.8,101.2
15.03,351.1,19.7,101.3
15.01,350.6,19.9,101.3
14.48,347.4,20.5,101.4
16.23,347.4,20.6,101.5
16.74,347.4,20.3,101.5
16.86,348.1,21.6,101.5
17,349,22.7,101.4
16.92,349.9,22.5,101.3
17.04,350.3,22.5,101.2
17.15,350.2,22.3,101.2
16.94,350.2,19.6,101.1
16.87,349.3,19.2,101.1
15.89,347.9,19.3,101.2
16.75,348.7,19.8,101.3
16.13,348.3,18.6,101.3
15.98,348.4,18.3,101.4
16.07,350.7,17.9,101.4
15.73,351.4,17.5,101.4
15.24,351.6,17.6,101.4
15.1,352.1,17.7,101.4
14.92,352.4,17.7,101.3
15.05,352.7,17.3,101.2
15.05,352.8,17.1,101.2
14.97,353.2,17.3,101.2
14.85,353.4,17.5,101.2
14.81,353.6,17.6,101.2
15.15,353.6,18,101.3
15.38,353,18.8,101.3
15.43,352.7,19.3,101.3
15.14,352.1,21.4,101.3
15.27,352,21.1,101.2
15.07,352.4,21.3,101.1
14.88,352.9,21.8,101
14.69,353.1,21.8,100.9
14.45,353.2,20.2,100.9
14.19,352.1,20.1,100.9
14.46,351.7,20,100.9
14.3,351.7,20.1,100.9
14.16,350,19.5,101
13.94,348.9,19.3,101.1
13.68,349.2,18.9,101.1
13.56,349.7,18.9,101.1
13.32,349.7,19,101.1
13.01,349.6,19.5,101.1
12.8,348.9,19.6,101
12.8,348.8,19.8,101
12.81,348.3,18.5,100.9
12.62,347.8,18.7,100.9
12.58,348.7,18.7,100.9
12.56,349.9,18.6,101
11.94,350.1,19.7,101
12.42,349.5,19.9,101
12.66,349.5,21.2,101
12.49,351.2,25.2,101
12.02,350.7,26.1,100.9
11.69,351,25.7,100.8
12.19,352.2,27.5,100.7
12.32,353.6,27.4,100.6
12.15,353.2,24.5,100.5
11.79,351.1,23.9,100.5
11.92,349.7,23.4,100.6
11.98,350.6,22.8,100.6
11.76,350.2,22.5,100.7
11.35,350.2,22.1,100.7
10.99,350.4,21.5,100.8
10.86,349.5,20.7,100.8
10.99,348.4,20.9,100.7
11.15,348.2,21.2,100.7
11.23,348.7,21.1,100.6
11.18,349.9,21.6,100.6
11.13,350.8,20.3,100.6
11.26,351.6,20.3,100.6
